"CHN","China","Asia","Eastern Asia",9572900.00,1277558000,"People Republic"
"IND","India","Asia","Southern and Central Asia",3287263.00,1013662000,"Federal Republic"
"USA","United States","North America","North America",9363520.00,278357000,"Federal Republic"
"IDN","Indonesia","Asia","Southeast Asia",1904569.00,212107000,"Republic"
"BRA","Brazil","South America","South America",8547403.00,170115000,"Federal Republic"
"PAK","Pakistan","Asia","Southern and Central Asia",796095.00,156483000,"Republic"
"RUS","Russian Federation","Europe","Eastern Europe",17075400.00,146934000,"Federal Republic"
"BGD","Bangladesh","Asia","Southern and Central Asia",143998.00,129155000,"Republic"
"JPN","Japan","Asia","Eastern Asia",377829.00,126714000,"Constitutional Monarchy"
"NGA","Nigeria","Africa","Western Africa",923768.00,111506000,"Federal Republic"
"ATA","Antarctica","Antarctica","Antarctica",13120000.00,0,"CO administrated"
"CAN","Canada","North America","North America",9970610.00,31147000,"Constitutional Monarchy"
"AUS","Australia","Oceania","Australia and New Zealand",7741220.00,18886000,"Constitutional Monarchy"
"ARG","Argentina","South America","South America",2780400.00,37032000,"Federal Republic"
"KAZ","Kazakstan","Asia","Southern and Central Asia",2724900.00,16223000,"Republic"
